Indicator,Year,Geography,Cases,Rate per 100000,Population
Linkage to HIV care,2010,New Mexico,Data not available,NA,NA
Linkage to HIV care,2011,New Mexico,Data not available,NA,NA
Linkage to HIV care,2012,New Mexico,Data not available,NA,NA
Linkage to HIV care,2013,New Mexico,Data not available,NA,NA
Linkage to HIV care,2010,North Carolina,Data not available,NA,NA
Linkage to HIV care,2011,North Carolina,Data not available,NA,NA
Linkage to HIV care,2012,North Carolina,Data not available,NA,NA
Linkage to HIV care,2013,North Carolina,Data not available,NA,NA
Linkage to HIV care,2014,North Carolina,Data not available,NA,NA
Linkage to HIV care,2015,North Carolina,Data not available,NA,NA
Linkage to HIV care,2010,Ohio,Data not available,NA,NA
Linkage to HIV care,2011,Ohio,Data not available,NA,NA
Linkage to HIV care,2012,Ohio,Data not available,NA,NA
Linkage to HIV care,2013,Ohio,Data not available,NA,NA
Linkage to HIV care,2014,Ohio,Data not available,NA,NA
Linkage to HIV care,2015,Ohio,Data not available,NA,NA
Linkage to HIV care,2016,Ohio,Data not available,NA,NA
Linkage to HIV care,2010,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2011,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2012,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2013,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2014,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2015,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2016,Oklahoma,Data not available,NA,NA
Linkage to HIV care,2010,Oregon,Data not available,NA,NA
Linkage to HIV care,2011,Oregon,Data not available,NA,NA
Linkage to HIV care,2012,Oregon,Data not available,NA,NA
Linkage to HIV care,2010,Rhode Island,Data not available,NA,NA
Linkage to HIV care,2011,Rhode Island,Data not available,NA,NA
Linkage to HIV care,2012,Rhode Island,Data not available,NA,NA
Linkage to HIV care,2013,Rhode Island,Data not available,NA,NA
Linkage to HIV care,2014,Rhode Island,Data not available,NA,NA
Linkage to HIV care,2010,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2011,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2012,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2013,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2014,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2015,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2016,Pennsylvania,Data not available,NA,NA
Linkage to HIV care,2010,South Carolina,Data not available,NA,NA
Linkage to HIV care,2011,South Dakota,Data not available,NA,NA
Linkage to HIV care,2012,South Dakota,Data not available,NA,NA
Linkage to HIV care,2010,Tennessee,Data not available,NA,NA
Linkage to HIV care,2011,Tennessee,Data not available,NA,NA
Linkage to HIV care,2012,Tennessee,Data not available,NA,NA
Linkage to HIV care,2010,Texas,Data not available,NA,NA
Linkage to HIV care,2011,Texas,Data not available,NA,NA
Linkage to HIV care,2010,Virginia,Data not available,NA,NA
Linkage to HIV care,2011,Virginia,Data not available,NA,NA
Linkage to HIV care,2012,Virginia,Data not available,NA,NA
Linkage to HIV care,2010,Vermont,Data not available,NA,NA
Linkage to HIV care,2011,Vermont,Data not available,NA,NA
Linkage to HIV care,2012,Vermont,Data not available,NA,NA
Linkage to HIV care,2013,Vermont,Data not available,NA,NA
Linkage to HIV care,2014,Vermont,Data not available,NA,NA
Linkage to HIV care,2015,Vermont,Data not available,NA,NA
Linkage to HIV care,2016,Vermont,Data not available,NA,NA
Linkage to HIV care,2010,Utah,Data not available,NA,NA
Linkage to HIV care,2011,Utah,Data not available,NA,NA
Linkage to HIV care,2010,Washington,Data not available,NA,NA
Linkage to HIV care,2011,Washington,Data not available,NA,NA
Linkage to HIV care,2012,Washington,Data not available,NA,NA
Linkage to HIV care,2013,Wyoming,Data not available,NA,NA
Linkage to HIV care,2010,Wisconsin,Data not available,NA,NA
Linkage to HIV care,2011,Wisconsin,Data not available,NA,NA
Linkage to HIV care,2012,Wisconsin,Data not available,NA,NA
Receipt of HIV medical care,2010,Wisconsin,Data not available,NA,NA
Receipt of HIV medical care,2011,Wisconsin,Data not available,NA,NA
Receipt of HIV medical care,2012,Wyoming,Data not available,NA,NA
Receipt of HIV medical care,2010,Washington,Data not available,NA,NA
Receipt of HIV medical care,2011,Washington,Data not available,NA,NA
Receipt of HIV medical care,2010,Utah,Data not available,NA,NA
Receipt of HIV medical care,2010,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2011,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2012,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2013,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2014,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2015,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2016,Vermont,Data not available,NA,NA
Receipt of HIV medical care,2010,Virginia,Data not available,NA,NA
Receipt of HIV medical care,2011,Virginia,Data not available,NA,NA
Receipt of HIV medical care,2010,Texas,Data not available,NA,NA
Receipt of HIV medical care,2010,Tennessee,Data not available,NA,NA
Receipt of HIV medical care,2011,Tennessee,Data not available,NA,NA
Receipt of HIV medical care,2010,South Dakota,Data not available,NA,NA
Receipt of HIV medical care,2011,South Dakota,Data not available,NA,NA
Receipt of HIV medical care,2010,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2011,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2012,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2013,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2014,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2015,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2016,Pennsylvania,Data not available,NA,NA
Receipt of HIV medical care,2010,Rhode Island,Data not available,NA,NA
Receipt of HIV medical care,2011,Rhode Island,Data not available,NA,NA
Receipt of HIV medical care,2012,Rhode Island,Data not available,NA,NA
Receipt of HIV medical care,2013,Rhode Island,Data not available,NA,NA
Receipt of HIV medical care,2010,Oregon,Data not available,NA,NA
Receipt of HIV medical care,2011,Oregon,Data not available,NA,NA
Receipt of HIV medical care,2010,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2011,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2012,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2013,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2014,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2015,Oklahoma,Data not available,NA,NA
Receipt of HIV medical care,2010,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2011,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2012,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2013,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2014,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2015,Ohio,Data not available,NA,NA
Receipt of HIV medical care,2010,North Carolina,Data not available,NA,NA
Receipt of HIV medical care,2011,North Carolina,Data not available,NA,NA
Receipt of HIV medical care,2012,North Carolina,Data not available,NA,NA
Receipt of HIV medical care,2013,North Carolina,Data not available,NA,NA
Receipt of HIV medical care,2014,North Carolina,Data not available,NA,NA
Receipt of HIV medical care,2010,New Mexico,Data not available,NA,NA
Receipt of HIV medical care,2011,New Mexico,Data not available,NA,NA
Receipt of HIV medical care,2012,New Mexico,Data not available,NA,NA
Receipt of HIV medical care,2010,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2011,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2012,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2013,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2014,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2015,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2016,New Jersey,Data not available,NA,NA
Receipt of HIV medical care,2010,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2011,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2012,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2013,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2014,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2015,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2016,Nevada,Data not available,NA,NA
Receipt of HIV medical care,2011,Nebraska,Data not available,NA,NA
Receipt of HIV medical care,2010,Montana,Data not available,NA,NA
Receipt of HIV medical care,2011,Montana,Data not available,NA,NA
Receipt of HIV medical care,2012,Montana,Data not available,NA,NA
Receipt of HIV medical care,2013,Montana,Data not available,NA,NA
Receipt of HIV medical care,2011,Minnesota,Data not available,NA,NA
Receipt of HIV medical care,2012,Minnesota,Data not available,NA,NA
Receipt of HIV medical care,2010,Mississippi,Data not available,NA,NA
Receipt of HIV medical care,2011,Mississippi,Data not available,NA,NA
Receipt of HIV medical care,2012,Mississippi,Data not available,NA,NA
Receipt of HIV medical care,2010,Massachusetts,Data not available,NA,NA
Receipt of HIV medical care,2011,Massachusetts,Data not available,NA,NA
Receipt of HIV medical care,2012,Massachusetts,Data not available,NA,NA
Receipt of HIV medical care,2010,Maryland,Data not available,NA,NA
Receipt of HIV medical care,2010,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2011,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2012,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2013,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2014,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2015,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2016,Kentucky,Data not available,NA,NA
Receipt of HIV medical care,2010,Maine,Data not available,NA,NA
Receipt of HIV medical care,2011,Maine,Data not available,NA,NA
Receipt of HIV medical care,2010,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2011,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2012,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2013,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2014,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2015,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2016,Kansas,Data not available,NA,NA
Receipt of HIV medical care,2010,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2011,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2012,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2013,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2014,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2015,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2016,Idaho,Data not available,NA,NA
Receipt of HIV medical care,2011,Georgia,Data not available,NA,NA
Receipt of HIV medical care,2012,Georgia,Data not available,NA,NA
Receipt of HIV medical care,2010,Florida,Data not available,NA,NA
Receipt of HIV medical care,2011,Florida,Data not available,NA,NA
Receipt of HIV medical care,2012,Florida,Data not available,NA,NA
Receipt of HIV medical care,2013,Florida,Data not available,NA,NA
Receipt of HIV medical care,2014,Florida,Data not available,NA,NA
Receipt of HIV medical care,2010,Connecticut,Data not available,NA,NA
Receipt of HIV medical care,2011,Connecticut,Data not available,NA,NA
Receipt of HIV medical care,2012,Connecticut,Data not available,NA,NA
Receipt of HIV medical care,2013,Connecticut,Data not available,NA,NA
Receipt of HIV medical care,2011,Delaware,Data not available,NA,NA
Receipt of HIV medical care,2012,Delaware,Data not available,NA,NA
Receipt of HIV medical care,2013,Delaware,Data not available,NA,NA
Receipt of HIV medical care,2010,Colorado,Data not available,NA,NA
Receipt of HIV medical care,2011,Colorado,Data not available,NA,NA
Receipt of HIV medical care,2012,Colorado,Data not available,NA,NA
Receipt of HIV medical care,2013,Colorado,Data not available,NA,NA
Receipt of HIV medical care,2010,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2011,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2013,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2014,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2015,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2016,Arkansas,Data not available,NA,NA
Receipt of HIV medical care,2010,Alaska,Data not available,NA,NA
Receipt of HIV medical care,2011,Alaska,Data not available,NA,NA
Receipt of HIV medical care,2010,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2011,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2012,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2013,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2014,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2015,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2016,Arizona,Data not available,NA,NA
Receipt of HIV medical care,2010,Alabama,Data not available,NA,NA
Receipt of HIV medical care,2011,Alabama,Data not available,NA,NA
HIV viral suppression,2010,Alabama,Data not available,NA,NA
HIV viral suppression,2011,Alabama,Data not available,NA,NA
HIV viral suppression,2010,Arizona,Data not available,NA,NA
HIV viral suppression,2011,Arizona,Data not available,NA,NA
HIV viral suppression,2012,Arizona,Data not available,NA,NA
HIV viral suppression,2013,Arizona,Data not available,NA,NA
HIV viral suppression,2014,Arizona,Data not available,NA,NA
HIV viral suppression,2015,Arizona,Data not available,NA,NA
HIV viral suppression,2016,Arizona,Data not available,NA,NA
HIV viral suppression,2010,Alaska,Data not available,NA,NA
HIV viral suppression,2011,Alaska,Data not available,NA,NA
HIV viral suppression,2010,Arkansas,Data not available,NA,NA
HIV viral suppression,2011,Arkansas,Data not available,NA,NA
HIV viral suppression,2013,Arkansas,Data not available,NA,NA
HIV viral suppression,2014,Arkansas,Data not available,NA,NA
HIV viral suppression,2015,Arkansas,Data not available,NA,NA
HIV viral suppression,2016,Arkansas,Data not available,NA,NA
HIV viral suppression,2010,Colorado,Data not available,NA,NA
HIV viral suppression,2011,Colorado,Data not available,NA,NA
HIV viral suppression,2012,Colorado,Data not available,NA,NA
HIV viral suppression,2013,Colorado,Data not available,NA,NA
HIV viral suppression,2011,Delaware,Data not available,NA,NA
HIV viral suppression,2012,Delaware,Data not available,NA,NA
HIV viral suppression,2013,Delaware,Data not available,NA,NA
HIV viral suppression,2010,Connecticut,Data not available,NA,NA
HIV viral suppression,2011,Connecticut,Data not available,NA,NA
HIV viral suppression,2012,Connecticut,Data not available,NA,NA
HIV viral suppression,2013,Connecticut,Data not available,NA,NA
HIV viral suppression,2010,Florida,Data not available,NA,NA
HIV viral suppression,2011,Florida,Data not available,NA,NA
HIV viral suppression,2012,Florida,Data not available,NA,NA
HIV viral suppression,2013,Florida,Data not available,NA,NA
HIV viral suppression,2014,Florida,Data not available,NA,NA
HIV viral suppression,2011,Georgia,Data not available,NA,NA
HIV viral suppression,2012,Georgia,Data not available,NA,NA
HIV viral suppression,2010,Idaho,Data not available,NA,NA
HIV viral suppression,2011,Idaho,Data not available,NA,NA
HIV viral suppression,2012,Idaho,Data not available,NA,NA
HIV viral suppression,2013,Idaho,Data not available,NA,NA
HIV viral suppression,2014,Idaho,Data not available,NA,NA
HIV viral suppression,2015,Idaho,Data not available,NA,NA
HIV viral suppression,2016,Idaho,Data not available,NA,NA
HIV viral suppression,2010,Kansas,Data not available,NA,NA
HIV viral suppression,2011,Kansas,Data not available,NA,NA
HIV viral suppression,2012,Kansas,Data not available,NA,NA
HIV viral suppression,2013,Kansas,Data not available,NA,NA
HIV viral suppression,2014,Kansas,Data not available,NA,NA
HIV viral suppression,2015,Kansas,Data not available,NA,NA
HIV viral suppression,2016,Kansas,Data not available,NA,NA
HIV viral suppression,2010,Maine,Data not available,NA,NA
HIV viral suppression,2011,Maine,Data not available,NA,NA
HIV viral suppression,2010,Kentucky,Data not available,NA,NA
HIV viral suppression,2011,Kentucky,Data not available,NA,NA
HIV viral suppression,2012,Kentucky,Data not available,NA,NA
HIV viral suppression,2013,Kentucky,Data not available,NA,NA
HIV viral suppression,2014,Kentucky,Data not available,NA,NA
HIV viral suppression,2015,Kentucky,Data not available,NA,NA
HIV viral suppression,2016,Kentucky,Data not available,NA,NA
HIV viral suppression,2010,Maryland,Data not available,NA,NA
HIV viral suppression,2010,Massachusetts,Data not available,NA,NA
HIV viral suppression,2011,Massachusetts,Data not available,NA,NA
HIV viral suppression,2012,Massachusetts,Data not available,NA,NA
HIV viral suppression,2010,Mississippi,Data not available,NA,NA
HIV viral suppression,2011,Mississippi,Data not available,NA,NA
HIV viral suppression,2012,Mississippi,Data not available,NA,NA
HIV viral suppression,2011,Minnesota,Data not available,NA,NA
HIV viral suppression,2012,Minnesota,Data not available,NA,NA
HIV viral suppression,2010,Montana,Data not available,NA,NA
HIV viral suppression,2011,Montana,Data not available,NA,NA
HIV viral suppression,2012,Montana,Data not available,NA,NA
HIV viral suppression,2013,Montana,Data not available,NA,NA
HIV viral suppression,2011,Nebraska,Data not available,NA,NA
HIV viral suppression,2010,Nevada,Data not available,NA,NA
HIV viral suppression,2011,Nevada,Data not available,NA,NA
HIV viral suppression,2012,Nevada,Data not available,NA,NA
HIV viral suppression,2013,Nevada,Data not available,NA,NA
HIV viral suppression,2014,Nevada,Data not available,NA,NA
HIV viral suppression,2015,Nevada,Data not available,NA,NA
HIV viral suppression,2016,Nevada,Data not available,NA,NA
HIV viral suppression,2010,New Jersey,Data not available,NA,NA
HIV viral suppression,2011,New Jersey,Data not available,NA,NA
HIV viral suppression,2012,New Jersey,Data not available,NA,NA
HIV viral suppression,2013,New Jersey,Data not available,NA,NA
HIV viral suppression,2014,New Jersey,Data not available,NA,NA
HIV viral suppression,2015,New Jersey,Data not available,NA,NA
HIV viral suppression,2016,New Jersey,Data not available,NA,NA
HIV viral suppression,2010,New Mexico,Data not available,NA,NA
HIV viral suppression,2011,New Mexico,Data not available,NA,NA
HIV viral suppression,2012,New Mexico,Data not available,NA,NA
HIV viral suppression,2010,North Carolina,Data not available,NA,NA
HIV viral suppression,2011,North Carolina,Data not available,NA,NA
HIV viral suppression,2012,North Carolina,Data not available,NA,NA
HIV viral suppression,2013,North Carolina,Data not available,NA,NA
HIV viral suppression,2014,North Carolina,Data not available,NA,NA
HIV viral suppression,2010,Ohio,Data not available,NA,NA
HIV viral suppression,2011,Ohio,Data not available,NA,NA
HIV viral suppression,2012,Ohio,Data not available,NA,NA
HIV viral suppression,2013,Ohio,Data not available,NA,NA
HIV viral suppression,2014,Ohio,Data not available,NA,NA
HIV viral suppression,2015,Ohio,Data not available,NA,NA
HIV viral suppression,2010,Oklahoma,Data not available,NA,NA
HIV viral suppression,2011,Oklahoma,Data not available,NA,NA
HIV viral suppression,2012,Oklahoma,Data not available,NA,NA
HIV viral suppression,2013,Oklahoma,Data not available,NA,NA
HIV viral suppression,2014,Oklahoma,Data not available,NA,NA
HIV viral suppression,2015,Oklahoma,Data not available,NA,NA
HIV viral suppression,2010,Oregon,Data not available,NA,NA
HIV viral suppression,2011,Oregon,Data not available,NA,NA
HIV viral suppression,2010,Rhode Island,Data not available,NA,NA
HIV viral suppression,2011,Rhode Island,Data not available,NA,NA
HIV viral suppression,2012,Rhode Island,Data not available,NA,NA
HIV viral suppression,2013,Rhode Island,Data not available,NA,NA
HIV viral suppression,2010,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2011,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2012,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2013,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2014,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2015,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2016,Pennsylvania,Data not available,NA,NA
HIV viral suppression,2010,South Dakota,Data not available,NA,NA
HIV viral suppression,2011,South Dakota,Data not available,NA,NA
HIV viral suppression,2010,Tennessee,Data not available,NA,NA
HIV viral suppression,2011,Tennessee,Data not available,NA,NA
HIV viral suppression,2010,Texas,Data not available,NA,NA
HIV viral suppression,2010,Virginia,Data not available,NA,NA
HIV viral suppression,2011,Virginia,Data not available,NA,NA
HIV viral suppression,2010,Vermont,Data not available,NA,NA
HIV viral suppression,2011,Vermont,Data not available,NA,NA
HIV viral suppression,2012,Vermont,Data not available,NA,NA
HIV viral suppression,2013,Vermont,Data not available,NA,NA
HIV viral suppression,2014,Vermont,Data not available,NA,NA
HIV viral suppression,2015,Vermont,Data not available,NA,NA
HIV viral suppression,2016,Vermont,Data not available,NA,NA
HIV viral suppression,2010,Utah,Data not available,NA,NA
HIV viral suppression,2010,Washington,Data not available,NA,NA
HIV viral suppression,2011,Washington,Data not available,NA,NA
HIV viral suppression,2012,Wyoming,Data not available,NA,NA
HIV viral suppression,2010,Wisconsin,Data not available,NA,NA
HIV viral suppression,2011,Wisconsin,Data not available,NA,NA
Diagnosed infection among persons living with HIV infection,2012,Wyoming,254,NA,NA
Diagnosed infection among persons living with HIV infection,2013,Wyoming,257,NA,NA
Diagnosed infection among persons living with HIV infection,2014,Wyoming,262,NA,NA
Diagnosed infection among persons living with HIV infection,2015,Wyoming,284,NA,NA
Diagnosed infection among persons living with HIV infection,2016,Wyoming,307,NA,NA
Diagnosed infection among persons living with HIV infection,2014,South Dakota,Data not available,NA,NA
Diagnosed infection among persons living with HIV infection,2015,South Dakota,498,NA,NA
Diagnosed infection among persons living with HIV infection,2016,South Dakota,514,NA,NA
Diagnosed infection among persons living with HIV infection,2013,North Dakota,251,NA,NA
Diagnosed infection among persons living with HIV infection,2014,North Dakota,293,NA,NA
Diagnosed infection among persons living with HIV infection,2015,North Dakota,329,NA,NA
Diagnosed infection among persons living with HIV infection,2016,North Dakota,369,NA,NA
Diagnosed infection among persons living with HIV infection,2016,Montana,591,NA,NA
Diagnosed infection among persons living with HIV infection,2016,Alaska,682,NA,NA
Estimated HIV incidence,2011,Alaska,Data not available,Data not available,NA
Estimated HIV incidence,2012,Alaska,Data not available,Data not available,NA
Estimated HIV incidence,2013,Alaska,Data not available,Data not available,NA
Estimated HIV incidence,2014,Alaska,Data not available,Data not available,NA
